iter	Passed	Remaining
0	202	202233
1	203	101399
2	203	67792
3	204	50981
4	205	40967
5	206	34258
6	207	29438
7	208	25819
8	208	23007
9	209	20753
10	210	18895
11	210	17355
12	211	16046
13	212	14936
14	212	13971
15	213	13121
16	213	12368
17	214	11703
18	215	11108
19	215	10573
20	216	10087
21	217	9646
22	217	9243
23	218	8871
24	218	8529
25	219	8214
26	219	7925
27	220	7656
28	221	7402
29	221	7169
30	222	6952
31	223	6747
32	223	6557
33	224	6376
34	225	6205
35	225	6041
36	226	5886
37	226	5740
38	227	5602
39	227	5468
40	228	5343
41	229	5226
42	229	5112
43	230	5004
44	230	4898
45	231	4798
46	232	4704
47	232	4612
48	233	4526
49	233	4441
50	234	4362
51	234	4283
52	235	4208
53	236	4135
54	236	4067
55	237	4000
56	238	3938
57	238	3878
58	239	3818
59	239	3759
60	240	3704
61	241	3649
62	241	3597
63	242	3546
64	243	3495
65	243	3448
66	244	3401
67	245	3358
68	245	3315
69	246	3272
70	247	3231
71	247	3191
72	248	3152
73	248	3114
74	249	3076
75	250	3040
76	250	3004
77	251	2969
78	251	2935
79	252	2904
80	253	2873
81	253	2841
82	254	2807
83	254	2777
84	255	2748
85	255	2719
86	256	2691
87	257	2664
88	257	2638
89	258	2611
90	258	2585
91	259	2561
92	260	2537
93	260	2514
94	261	2490
95	261	2467
96	262	2444
97	263	2421
98	263	2400
99	264	2378
100	264	2358
101	265	2337
102	266	2316
103	266	2296
104	267	2277
105	267	2258
106	268	2240
107	268	2221
108	269	2203
109	270	2185
110	270	2168
111	271	2151
112	271	2134
113	272	2117
114	273	2101
115	273	2085
116	274	2069
117	274	2054
118	275	2039
119	276	2025
120	276	2010
121	277	1995
122	277	1981
123	278	1967
124	279	1953
125	279	1940
126	280	1926
127	280	1913
128	281	1900
129	282	1889
130	283	1877
131	283	1866
132	284	1854
133	285	1842
134	285	1830
135	286	1818
136	286	1806
137	287	1795
138	287	1783
139	288	1772
140	289	1761
141	289	1749
142	290	1738
143	290	1727
144	291	1717
145	291	1707
146	292	1697
147	293	1687
148	293	1677
149	294	1667
150	294	1658
151	295	1648
152	296	1638
153	296	1629
154	297	1620
155	297	1611
156	298	1602
157	299	1593
158	299	1585
159	300	1577
160	300	1567
161	301	1559
162	302	1551
163	302	1543
164	303	1534
165	303	1526
166	304	1518
167	305	1510
168	305	1502
169	306	1495
170	306	1487
171	307	1479
172	307	1471
173	308	1464
174	308	1456
175	309	1448
176	310	1441
177	310	1434
178	311	1427
179	311	1420
180	312	1413
181	313	1407
182	313	1400
183	314	1393
184	314	1387
185	315	1381
186	316	1374
187	316	1368
188	317	1362
189	318	1355
190	318	1349
191	319	1343
192	319	1337
193	320	1331
194	321	1325
195	321	1320
196	322	1314
197	322	1308
198	323	1302
199	324	1296
200	324	1290
201	325	1284
202	325	1279
203	326	1273
204	327	1268
205	327	1262
206	328	1257
207	328	1251
208	329	1246
209	329	1241
210	330	1236
211	331	1230
212	331	1225
